Origin;Destination;Number
Tambovskaya;Chernigovskaya;248
Tverskaya;Chernigovskaya;217
Tulskaya;Chernigovskaya;534
Ufimskaya;Chernigovskaya;412
Kharkovskaya;Chernigovskaya;1264
Khersonskaya;Chernigovskaya;678
Estonskaya;Chernigovskaya;59
Yaroslavskaya;Chernigovskaya;115
Warsawskaya;Chernigovskaya;437
Kaliszskaya;Chernigovskaya;60
Kieleckaya;Chernigovskaya;83
Lomzinskaya;Chernigovskaya;69
Lublinskaya;Chernigovskaya;163
Piotrkovskaya;Chernigovskaya;120
Plockaya;Chernigovskaya;64
Radomskaya;Chernigovskaya;64
Suwalkskaya;Chernigovskaya;161
Siedlcskaya;Chernigovskaya;90
Bakinskaya;Chernigovskaya;14
Dagestanskaya;Chernigovskaya;4
Elisabethpolskaya;Chernigovskaya;5
Karsskaya;Chernigovskaya;2
Kubanskaya;Chernigovskaya;152
Kutaisskaya;Chernigovskaya;14
Stavropolskaya;Chernigovskaya;92
Terskaya;Chernigovskaya;62
Tiflisskaya;Chernigovskaya;50
Cernomorskaya;Chernigovskaya;11
Erevanskaya;Chernigovskaya;7
Amurskaya;Chernigovskaya;8
Eniseiskaya;Chernigovskaya;18
Zabaikalskaya;Chernigovskaya;15
Irkutskaya;Chernigovskaya;32
Primorskaya;Chernigovskaya;11
Sakhalin;Chernigovskaya;16
Tobolskaya;Chernigovskaya;33
Tomskaya;Chernigovskaya;40
Yakutskaya;Chernigovskaya;9
Akmolinskaya;Chernigovskaya;11
Zakaspiyskaya;Chernigovskaya;5
Samarkandskaya;Chernigovskaya;3
Semipalatinskaya;Chernigovskaya;3
Semirechenskaya;Chernigovskaya;4
SyrDaryinskaya;Chernigovskaya;6
Turgayskaya;Chernigovskaya;1
Uralskaya;Chernigovskaya;4
Ferganskaya;Chernigovskaya;9
Arkhangelskaya;Dagestanskaya;16
Astrakhanskaya;Dagestanskaya;638
Bessarabskaya;Dagestanskaya;125
Vilenskaya;Dagestanskaya;53
Vitebskaya;Dagestanskaya;45
Vladimirskaya;Dagestanskaya;181
Vologodskaya;Dagestanskaya;14
Volhynskaya;Dagestanskaya;51
Voronezhskaya;Dagestanskaya;435
Viatskaya;Dagestanskaya;122
Grodnenskaya;Dagestanskaya;169
VojskaDonskogo;Dagestanskaya;639
Ekaterinoslavskaya;Dagestanskaya;182
